,CTL,1.25xCO2,1.5xCO2,1.75xCO2,2xCO2,3xCO2,4xCO2,6xCO2,8xCO2
0151-01-15 00:00:00,-0.7711487,0.36327362,-1.2052078,1.3889103,1.3324394,-0.16038513,-0.35908318,-0.303957,-0.77214813
0151-02-15 00:00:00,-0.774313,0.1921215,-1.25671,0.9059105,1.185957,-0.14022827,-0.23597908,-0.4460354,-1.1104927
0151-03-15 00:00:00,-0.32830238,0.18599701,-1.1391277,0.05829048,0.83047676,-0.2941494,-0.32663155,-0.5523281,-0.9821205
0151-04-15 00:00:00,0.112874985,-0.10754013,-0.96502686,-0.07888794,0.28920937,-0.2179699,-0.56137466,-0.54389954,-0.64871407
0151-05-15 00:00:00,0.27570343,-0.47436142,-0.69187737,0.09277344,-0.0335598,-0.03842163,-0.51615334,-0.18804169,-0.4035797
0151-06-15 00:00:00,0.38921547,-0.6866474,-0.7353611,-0.4661541,-0.6275978,0.036575317,-0.48197365,-0.2634468,-0.45674896
0151-07-15 00:00:00,0.31352997,-0.6800842,-0.6963787,-0.64964104,-1.1145477,-0.07161522,-0.57330513,0.055828094,-0.7065239
0151-08-15 00:00:00,0.5802002,-0.47613144,-0.70884895,-0.45173836,-1.4153118,0.040977478,-0.54636574,0.2953987,-1.1458149
0151-09-15 00:00:00,0.7821789,-0.8018303,-0.74230576,-0.506464,-1.4202938,0.26482582,-0.5849457,0.38816643,-1.5472126
0151-10-15 00:00:00,0.8389244,-0.715065,-0.96920204,-0.48542595,-1.5577526,0.36408806,-0.69280815,0.7429657,-1.5320129
0151-11-15 00:00:00,0.6976509,-0.49124146,-1.2346058,-0.8551121,-1.1782951,0.5330887,-0.93377686,0.6851311,-1.4212723
0151-12-15 00:00:00,0.5876732,-0.66786766,-1.3112164,-0.8699627,-1.133358,0.7283039,-1.0323982,0.6844101,-1.1122894
0152-01-15 00:00:00,0.5204563,-0.79466057,-1.4449806,-0.8605213,-0.9928341,0.77929497,-0.90332603,0.5317421,-0.933548
0152-02-15 00:00:00,0.5122242,-0.84426117,-1.5380554,-0.713747,-1.0482788,0.5391941,-0.9359474,0.22665977,-0.62922287
0152-03-15 00:00:00,0.48277664,-0.80319977,-1.2066936,-0.6549015,-1.0091133,0.080415726,-0.8462944,0.1076107,-0.21302795
0152-04-15 00:00:00,0.39085007,-0.7767067,-1.0117874,-0.79646873,-0.94449615,-0.17571068,-0.75593185,-0.021715164,0.16321564
0152-05-15 00:00:00,0.37810516,-0.830637,-0.8067913,-0.68351936,-0.7655735,-0.5457554,-0.6090412,-0.09608078,0.05051422
0152-06-15 00:00:00,0.15042114,-0.61197853,-0.53162,-0.609766,-0.53443336,-0.86974716,-0.45188522,-0.15000916,0.085178375
0152-07-15 00:00:00,-0.14552498,-0.623724,-0.47489166,-0.46539497,-0.3212452,-0.91350555,-0.17459297,-0.33636856,0.30291748
0152-08-15 00:00:00,-0.069374084,-0.7381344,-0.4024887,-0.33349228,-0.16695595,-0.6878624,-0.11966705,-0.07180977,0.31095886
0152-09-15 00:00:00,-0.097969055,-0.3369484,-0.5248375,-0.4723072,0.043729782,-0.51117134,-0.32526588,0.266325,0.22592545
0152-10-15 00:00:00,-0.2115326,-0.23135757,-0.4750843,-0.4045925,-0.021284103,-0.54413223,-0.26343155,0.1966362,0.19703674
0152-11-15 00:00:00,-0.012609482,-0.38062668,-0.47663498,-0.5133343,-0.1463871,-0.3250847,-0.3152542,0.4795227,0.11640167
0152-12-15 00:00:00,0.023420334,-0.4038334,-0.48549843,-0.7292099,-0.041002274,-0.30966187,-0.2821045,0.33092117,0.19926834
0153-01-15 00:00:00,0.020086288,-0.11245155,-0.54185104,-0.58662415,0.13939285,-0.4136505,-0.36592674,-0.16770363,0.3169403
0153-02-15 00:00:00,-0.21637535,0.25042152,-0.30710793,-0.2527485,0.32559967,-0.4249859,-0.3024025,-0.55941963,0.5420456
0153-03-15 00:00:00,-0.19760704,0.41858864,0.21791077,-0.20160675,0.26356125,-0.42906952,-0.06791115,-0.668478,0.84724045
0153-04-15 00:00:00,0.043373108,0.34021187,0.7256241,-0.17509842,0.3680725,-0.50050926,0.013126373,-0.74333954,0.8924103
0153-05-15 00:00:00,0.19714165,0.42017174,0.4426384,-0.05956459,0.31663895,-0.43264008,-0.092372894,-0.7271309,0.868618
0153-06-15 00:00:00,0.22624588,0.7749748,0.4892292,0.28230095,0.49129486,-0.22628212,-0.13988495,-0.75045204,0.5071182
0153-07-15 00:00:00,0.45734978,0.9763756,0.6947918,0.48514175,0.5773411,0.30126,-0.1599617,-0.8537464,0.6688423
0153-08-15 00:00:00,0.6371441,1.1104069,1.0827217,0.87132835,0.40892982,0.5849571,-0.34056282,-1.1609554,0.6341591
0153-09-15 00:00:00,0.48114967,1.2621689,1.4581261,1.1419506,0.41428947,0.38363457,-0.5247021,-0.92891884,0.40335846
0153-10-15 00:00:00,0.6079769,1.4144459,1.2235012,1.1809311,0.40205956,0.21393013,-0.66580963,-0.4437828,0.23586273
0153-11-15 00:00:00,0.6849022,1.6527958,1.1645393,1.1361389,0.51307297,-0.017364502,-0.5115242,-0.44978333,0.06521225
0153-12-15 00:00:00,0.57221985,2.009653,1.2677555,1.1188889,0.6953068,0.032484055,-0.39151,-0.33880234,0.10947037
0154-01-15 00:00:00,0.43956757,2.0068092,1.2010574,1.2964554,0.70921135,-0.037597656,-0.3118267,-0.42845726,-0.107551575
0154-02-15 00:00:00,0.19887352,1.6420364,0.84985733,1.2205563,0.40582657,-0.31311226,-0.23581123,-0.43574715,-0.29208374
0154-03-15 00:00:00,0.10033035,1.5654907,0.65182495,0.48428726,0.307333,-0.49512672,-0.1234436,-0.17446327,0.052654266
0154-04-15 00:00:00,0.28299713,1.5934811,0.40141296,0.3347435,0.38139534,-0.9247551,-0.18767166,-0.20631027,0.37774658
0154-05-15 00:00:00,0.46879578,1.2713127,0.081897736,0.08589935,0.2012577,-1.0819874,-0.19074059,-0.20018768,0.3459015
0154-06-15 00:00:00,0.27829552,0.900795,-0.66921616,-0.028295517,-0.20563507,-1.0144291,-0.24917793,-0.10309982,0.25697708
0154-07-15 00:00:00,0.07662773,0.8087063,-0.89891434,-0.27920341,-0.5127201,-0.9296684,-0.18181229,0.06978989,0.2343483
0154-08-15 00:00:00,0.011619568,0.77971077,-1.0642776,-0.39460945,-0.5816231,-0.7959366,-0.10733986,0.20661736,0.19399261
0154-09-15 00:00:00,-0.102334976,0.52415466,-1.2344322,-0.33974266,-0.74993706,-0.7944279,-0.21842384,0.3053379,0.16242218
0154-10-15 00:00:00,0.058689117,0.46833038,-1.0698376,-0.16440392,-0.9486618,-0.80392265,-0.15367508,0.28728485,-0.121147156
0154-11-15 00:00:00,0.03677368,0.4689541,-1.0177498,-0.106853485,-1.1049576,-0.8862667,-0.11051941,0.2561264,0.082019806
0154-12-15 00:00:00,-0.11784363,0.4349079,-0.8772526,-0.17573547,-1.0035172,-0.9481945,-0.019556046,0.2457695,0.051410675
