,ERSSTv5
1854-01-31,-0.700409
1854-02-28,-0.7364582
1854-03-31,-0.35024363
1854-04-30,-0.06317387
1854-05-31,0.08542602
1854-06-30,-0.33123937
1854-07-31,-0.26579374
1854-08-31,-1.0026003
1854-09-30,-0.64035815
1854-10-31,-1.2662886
1854-11-30,-1.2593937
1854-12-31,-1.4861437
1855-01-31,-0.6569645
1855-02-28,0.16120848
1855-03-31,-0.099143386
1855-04-30,-0.0530246
1855-05-31,-0.0913309
1855-06-30,-0.40317702
1855-07-31,-0.3739589
1855-08-31,-0.32359117
1855-09-30,0.73969257
1855-10-31,0.6665672
1855-11-30,1.1525795
1855-12-31,1.0791738
1856-01-31,0.6174799
1856-02-29,0.26245505
1856-03-31,0.47984058
1856-04-30,-0.4538023
1856-05-31,-0.74263847
1856-06-30,-0.74046236
1856-07-31,-0.8721857
1856-08-31,-1.5941894
1856-09-30,-2.4774957
1856-10-31,-2.7678592
1856-11-30,-2.9245486
1856-12-31,-2.9804657
1857-01-31,-2.5165157
1857-02-28,-2.2197013
1857-03-31,-1.8549951
1857-04-30,-1.4425981
1857-05-31,-0.4660407
1857-06-30,0.19525726
1857-07-31,-0.18104191
1857-08-31,-0.75617015
1857-09-30,-0.19202007
1857-10-31,-0.41678253
1857-11-30,-0.3911996
1857-12-31,-0.39587796
1858-01-31,-0.10529797
1858-02-28,-0.22988339
1858-03-31,-0.3526138
1858-04-30,-0.38629556
1858-05-31,-0.40668407
1858-06-30,-0.4696737
1858-07-31,-0.46671838
1858-08-31,-0.6606885
1858-09-30,-0.6269723
1858-10-31,-0.41132784
1858-11-30,-0.13402292
1858-12-31,-0.25257596
1859-01-31,-0.019089023
1859-02-28,-0.41810656
1859-03-31,-0.40257534
1859-04-30,-0.8777522
1859-05-31,-0.7121902
1859-06-30,-0.40263256
1859-07-31,0.023492286
1859-08-31,0.05315563
1859-09-30,-0.52100354
1859-10-31,-0.45583338
1859-11-30,-0.2629272
1859-12-31,-0.48523235
1860-01-31,-0.78631705
1860-02-29,-1.1842679
1860-03-31,-1.067919
1860-04-30,-1.1775136
1860-05-31,-0.9399334
1860-06-30,-0.33747944
1860-07-31,-0.3530534
1860-08-31,-0.4389016
1860-09-30,-1.0325115
1860-10-31,-1.7465245
1860-11-30,-1.5251906
1860-12-31,-2.0053935
1861-01-31,-1.9183499
1861-02-28,-1.9121428
1861-03-31,-1.4806648
1861-04-30,-1.3572828
1861-05-31,-1.2510738
1861-06-30,-1.1375376
1861-07-31,-1.0443165
1861-08-31,-0.9903634
1861-09-30,-1.0244684
1861-10-31,-0.9776662
1861-11-30,-0.92729187
1861-12-31,-0.91575754
1862-01-31,-1.0081626
1862-02-28,-1.1855193
1862-03-31,-1.4160674
1862-04-30,-1.4375141
1862-05-31,-1.7102382
1862-06-30,-2.3347173
1862-07-31,-1.7068211
1862-08-31,-1.2813655
1862-09-30,-0.6102769
1862-10-31,-1.3564291
1862-11-30,-1.1043135
1862-12-31,-0.9893591
1863-01-31,-1.0151918
1863-02-28,-1.1947016
1863-03-31,-1.1639725
1863-04-30,-1.1045239
1863-05-31,-1.0041983
1863-06-30,-0.87918776
1863-07-31,-0.9097808
1863-08-31,-0.8730381
1863-09-30,-0.84725463
1863-10-31,-0.831927
1863-11-30,-0.8124324
1863-12-31,-0.8603212
1864-01-31,-0.7636231
1864-02-29,-0.7417289
1864-03-31,-0.7294964
1864-04-30,-0.7698236
1864-05-31,-0.7580562
1864-06-30,-0.7405658
1864-07-31,-0.701197
1864-08-31,-0.7562377
1864-09-30,-0.7353511
1864-10-31,-0.75645703
1864-11-30,-0.6844008
1864-12-31,-0.7606765
1865-01-31,-0.6457442
1865-02-28,-0.69817996
1865-03-31,-0.7156967
1865-04-30,-0.6881051
1865-05-31,-0.6651362
1865-06-30,-0.6604581
1865-07-31,-0.6426674
1865-08-31,-0.6616338
1865-09-30,-0.6624558
1865-10-31,-0.66613436
1865-11-30,-0.66917926
1865-12-31,-0.67111814
1866-01-31,-0.73605806
1866-02-28,-0.7268347
1866-03-31,-0.73518467
1866-04-30,-0.7178213
1866-05-31,-0.7039421
1866-06-30,-0.70335823
1866-07-31,-0.70030963
1866-08-31,-0.70072925
1866-09-30,-0.6788522
1866-10-31,-0.71569186
1866-11-30,-0.71691215
1866-12-31,-0.6991066
1867-01-31,-0.7753962
1867-02-28,-0.78789836
1867-03-31,-0.780715
1867-04-30,-0.7837413
1867-05-31,-0.88143283
1867-06-30,-0.82094955
1867-07-31,-0.79999274
1867-08-31,-0.79172665
1867-09-30,-0.7946571
1867-10-31,-0.77957696
1867-11-30,-0.78190887
1867-12-31,-0.6823101
1868-01-31,-0.6892107
1868-02-29,-0.76794755
1868-03-31,-0.69849706
1868-04-30,-0.92077
1868-05-31,-0.81957376
1868-06-30,-0.6503552
1868-07-31,-0.6900447
1868-08-31,-0.74531496
1868-09-30,-0.8743585
1868-10-31,-0.8400487
1868-11-30,-0.82386273
1868-12-31,-0.92486763
1869-01-31,-0.89530677
1869-02-28,-0.8508242
1869-03-31,-0.81846637
1869-04-30,-0.7425752
1869-05-31,-0.6433705
1869-06-30,-0.7231127
1869-07-31,-1.1172106
1869-08-31,-2.1320052
1869-09-30,-2.382945
1869-10-31,-2.152256
1869-11-30,-0.70075905
1869-12-31,-1.5689216
1870-01-31,-1.2894132
1870-02-28,-2.2938092
1870-03-31,-1.8772242
1870-04-30,-1.9109577
1870-05-31,-1.9666841
1870-06-30,-1.5976413
1870-07-31,-1.5255343
1870-08-31,-1.4070009
1870-09-30,-1.4151733
1870-10-31,-1.5763594
1870-11-30,-1.3648031
1870-12-31,-1.4275097
1871-01-31,-1.1409652
1871-02-28,-1.2064493
1871-03-31,-0.59890354
1871-04-30,-0.123878196
1871-05-31,-0.41613063
1871-06-30,-0.38968125
1871-07-31,-0.29373384
1871-08-31,-0.12504642
1871-09-30,-0.10881772
1871-10-31,-0.4506051
1871-11-30,-0.5308855
1871-12-31,-0.6441193
1872-01-31,-1.0419967
1872-02-29,-1.1821193
1872-03-31,-1.2312095
1872-04-30,-1.173649
1872-05-31,-1.0421174
1872-06-30,-1.12202
1872-07-31,0.0999415
1872-08-31,-1.2972753
1872-09-30,-1.1504443
1872-10-31,-1.7717373
1872-11-30,-1.6005528
1872-12-31,-1.5701036
1873-01-31,-1.5739878
1873-02-28,-1.7798668
1873-03-31,-1.617371
1873-04-30,-1.235256
1873-05-31,-0.99788696
1873-06-30,-0.5638439
1873-07-31,-0.28850937
1873-08-31,-0.105912626
1873-09-30,-0.23198983
1873-10-31,-1.0509391
1873-11-30,-1.0109129
1873-12-31,-1.0508969
1874-01-31,-1.5190703
1874-02-28,-1.836022
1874-03-31,-1.7503818
1874-04-30,-1.5450222
1874-05-31,-1.4044523
1874-06-30,-1.1773293
1874-07-31,-1.3176845
1874-08-31,-1.2454345
1874-09-30,-1.3519751
1874-10-31,-1.3566086
1874-11-30,-1.601648
1874-12-31,-1.4242407
1875-01-31,-0.91235316
1875-02-28,-0.9974543
1875-03-31,-0.7771336
1875-04-30,-0.9185608
1875-05-31,-0.86287916
1875-06-30,-0.9924571
1875-07-31,-0.8124183
1875-08-31,-0.984001
1875-09-30,-1.0781125
1875-10-31,-1.3278582
1875-11-30,-1.1059042
1875-12-31,-1.012693
1876-01-31,-0.75370324
1876-02-29,-1.2059789
1876-03-31,-1.3345512
1876-04-30,-1.7358614
1876-05-31,-1.5173607
1876-06-30,-0.6331675
1876-07-31,-0.050117034
1876-08-31,-0.33827513
1876-09-30,-0.5072373
1876-10-31,-0.042447776
1876-11-30,0.038309447
1876-12-31,0.25748083
1877-01-31,0.4341468
1877-02-28,0.38248566
1877-03-31,0.7307147
1877-04-30,0.58148736
1877-05-31,0.31957212
1877-06-30,0.37349072
1877-07-31,1.069052
1877-08-31,1.9252832
1877-09-30,1.9607255
1877-10-31,2.0971098
1877-11-30,2.4551494
1877-12-31,2.397437
1878-01-31,2.380697
1878-02-28,2.504561
1878-03-31,0.85015917
1878-04-30,1.2402748
1878-05-31,1.2022619
1878-06-30,-0.08865471
1878-07-31,-0.8488679
1878-08-31,-0.75209194
1878-09-30,-1.110354
1878-10-31,-1.3915412
1878-11-30,-1.5805438
1878-12-31,-1.4104888
1879-01-31,-1.2775922
1879-02-28,-0.4568799
1879-03-31,-0.7863614
1879-04-30,-0.7409499
1879-05-31,-0.8394488
1879-06-30,-1.0210017
1879-07-31,-1.3306772
1879-08-31,-1.3177345
1879-09-30,-1.3016903
1879-10-31,-1.5869931
1879-11-30,-1.618289
1879-12-31,-1.3848972
1880-01-31,-1.8194733
1880-02-29,-1.4580472
1880-03-31,-0.75949496
1880-04-30,-1.1007385
1880-05-31,-0.45006785
1880-06-30,-0.31451315
1880-07-31,-0.28020808
1880-08-31,-0.34459576
1880-09-30,-0.21667401
1880-10-31,-0.18357553
1880-11-30,-0.15040635
1880-12-31,-0.14637819
1881-01-31,0.015359661
1881-02-28,-0.030862207
1881-03-31,0.28077194
1881-04-30,0.24614644
1881-05-31,0.18808457
1881-06-30,0.007094869
1881-07-31,-0.12160502
1881-08-31,-0.275873
1881-09-30,-0.36583188
1881-10-31,-0.6265014
1881-11-30,-0.6284249
1881-12-31,-0.072449245
1882-01-31,-0.5511597
1882-02-28,-0.28390068
1882-03-31,0.033414043
1882-04-30,0.21105278
1882-05-31,0.112242505
1882-06-30,-0.5622998
1882-07-31,-0.8206172
1882-08-31,-0.6939342
1882-09-30,-1.1150978
1882-10-31,-1.3149936
1882-11-30,-1.3303316
1882-12-31,-1.0096115
1883-01-31,-0.69281405
1883-02-28,-0.29129383
1883-03-31,-0.06829058
1883-04-30,0.25696218
1883-05-31,-0.20586677
1883-06-30,-0.33447364
1883-07-31,-0.24811022
1883-08-31,-0.43116552
1883-09-30,-0.6099812
1883-10-31,-0.54713994
1883-11-30,-0.3021378
1883-12-31,-0.44904035
1884-01-31,-0.087346084
1884-02-29,0.025140833
1884-03-31,-0.42824394
1884-04-30,0.09553411
1884-05-31,0.05186416
1884-06-30,-0.06471057
1884-07-31,-0.3664799
1884-08-31,-0.5564498
1884-09-30,0.04114621
1884-10-31,0.031355076
1884-11-30,0.329629
1884-12-31,0.30912277
1885-01-31,0.22817221
1885-02-28,-0.055360455
1885-03-31,-0.185297
1885-04-30,-0.39854527
1885-05-31,-0.23321363
1885-06-30,-0.079678796
1885-07-31,-0.13890088
1885-08-31,-0.15401366
1885-09-30,0.26504916
1885-10-31,0.7702532
1885-11-30,0.7489706
1885-12-31,0.6574045
1886-01-31,0.2685499
1886-02-28,-0.418297
1886-03-31,-0.8846756
1886-04-30,-0.719801
1886-05-31,-1.1529477
1886-06-30,-1.7000297
1886-07-31,-1.4512962
1886-08-31,-1.4057815
1886-09-30,-1.4389812
1886-10-31,-1.7569803
1886-11-30,-1.8580978
1886-12-31,-2.4462147
1887-01-31,-2.601961
1887-02-28,-2.455681
1887-03-31,-1.6655114
1887-04-30,-1.3264424
1887-05-31,-1.2462324
1887-06-30,-0.96921635
1887-07-31,-0.67552423
1887-08-31,-0.5262528
1887-09-30,-0.46538106
1887-10-31,-0.4195176
1887-11-30,-0.19104289
1887-12-31,-0.16121082
1888-01-31,0.11204912
1888-02-29,0.44234315
1888-03-31,0.36163348
1888-04-30,0.28891888
1888-05-31,0.2554245
1888-06-30,0.50644076
1888-07-31,0.45038795
1888-08-31,0.47581625
1888-09-30,1.0382062
1888-10-31,1.5198288
1888-11-30,1.7749283
1888-12-31,2.151013
1889-01-31,2.165958
1889-02-28,1.9782546
1889-03-31,1.1214527
1889-04-30,0.750912
1889-05-31,0.41859856
1889-06-30,-0.23574686
1889-07-31,-1.6134831
1889-08-31,-1.662783
1889-09-30,-1.8830372
1889-10-31,-2.431816
1889-11-30,-2.0767152
1889-12-31,-1.9999145
1890-01-31,-2.086469
1890-02-28,-2.5279434
1890-03-31,-1.6352212
1890-04-30,-1.4440563
1890-05-31,-0.9423725
1890-06-30,-0.9219972
1890-07-31,-1.0300753
1890-08-31,-1.0367327
1890-09-30,-1.2777754
1890-10-31,-1.2652853
1890-11-30,-1.3338461
1890-12-31,-0.35216993
1891-01-31,0.013873236
1891-02-28,-0.21417072
1891-03-31,-0.25986683
1891-04-30,0.34270057
1891-05-31,0.2727798
1891-06-30,0.1720798
1891-07-31,-0.044285774
1891-08-31,-0.31456864
1891-09-30,-0.47920078
1891-10-31,-0.2914833
1891-11-30,-0.16064091
1891-12-31,-0.3485053
1892-01-31,-0.5630316
1892-02-29,-0.52662754
1892-03-31,-0.8100468
1892-04-30,-0.63909334
1892-05-31,-0.70182174
1892-06-30,-0.86951315
1892-07-31,-1.1957939
1892-08-31,-1.4958076
1892-09-30,-1.6999277
1892-10-31,-2.0667968
1892-11-30,-1.8889011
1892-12-31,-1.694904
1893-01-31,-1.5647476
1893-02-28,-1.4843999
1893-03-31,-1.5616907
1893-04-30,-1.4069563
1893-05-31,-1.1920903
1893-06-30,-1.1405728
1893-07-31,-1.3560721
1893-08-31,-1.6022736
1893-09-30,-1.5725641
1893-10-31,-1.8747698
1893-11-30,-1.6129768
1893-12-31,-1.5326759
1894-01-31,-1.5364072
1894-02-28,-1.5908926
1894-03-31,-1.6846931
1894-04-30,-1.3703867
1894-05-31,-1.1599536
1894-06-30,-0.94909036
1894-07-31,-1.404472
1894-08-31,-1.2011709
1894-09-30,-1.3833182
1894-10-31,-1.2865766
1894-11-30,-1.2590647
1894-12-31,-0.870343
1895-01-31,-0.87515366
1895-02-28,-1.1161711
1895-03-31,-0.9650613
1895-04-30,-0.61674035
1895-05-31,0.08321442
1895-06-30,-0.19962302
1895-07-31,-0.21779712
1895-08-31,-0.27446732
1895-09-30,0.01110476
1895-10-31,0.074788705
1895-11-30,0.10825864
1895-12-31,0.24675682
1896-01-31,-0.035704643
1896-02-29,-0.03006413
1896-03-31,0.04137519
1896-04-30,0.16588417
1896-05-31,0.0055250325
1896-06-30,0.4133827
1896-07-31,0.8624085
1896-08-31,0.8041326
1896-09-30,0.75750214
1896-10-31,0.8865024
1896-11-30,1.5328342
1896-12-31,1.5475765
1897-01-31,1.3649242
1897-02-28,0.8506137
1897-03-31,0.2435132
1897-04-30,-0.18543722
1897-05-31,-0.3097301
1897-06-30,-0.35676783
1897-07-31,-0.31798103
1897-08-31,-0.5685089
1897-09-30,-0.5164344
1897-10-31,-0.8042262
1897-11-30,-1.3873593
1897-12-31,-0.7813746
1898-01-31,-0.44029647
1898-02-28,-0.78422916
1898-03-31,-1.3493459
1898-04-30,-0.72514784
1898-05-31,-0.50139445
1898-06-30,-0.5921069
1898-07-31,-1.1196735
1898-08-31,-1.4207683
1898-09-30,-1.2884653
1898-10-31,-1.1994386
1898-11-30,-1.2257532
1898-12-31,-1.3659565
1899-01-31,-0.92658615
1899-02-28,-1.1736763
1899-03-31,-0.881343
1899-04-30,-0.18028279
1899-05-31,-0.29901952
1899-06-30,-0.4321
1899-07-31,-0.21595326
1899-08-31,-0.055682313
1899-09-30,0.013996081
1899-10-31,0.19074874
1899-11-30,0.8576047
1899-12-31,1.1408244
1900-01-31,1.1392419
1900-02-28,1.1005304
1900-03-31,0.92183465
1900-04-30,0.7631201
1900-05-31,0.8543833
1900-06-30,0.5803965
1900-07-31,0.479913
1900-08-31,-0.034033995
1900-09-30,-0.18522
1900-10-31,-0.061757643
1900-11-30,-0.14162634
1900-12-31,-0.013261473
1901-01-31,0.20107703
1901-02-28,0.14385606
1901-03-31,-0.27190238
1901-04-30,-0.18464927
1901-05-31,-0.5785399
1901-06-30,-0.747722
1901-07-31,-0.843322
1901-08-31,-0.8324183
1901-09-30,-0.8616622
1901-10-31,-0.9317936
1901-11-30,-0.6331725
1901-12-31,-0.52584165
1902-01-31,-0.28621846
1902-02-28,-0.37041408
1902-03-31,-0.116512164
1902-04-30,0.52005506
1902-05-31,0.3929426
1902-06-30,0.77761114
1902-07-31,1.1892977
1902-08-31,1.3686445
1902-09-30,1.522084
1902-10-31,1.7253479
1902-11-30,1.770443
1902-12-31,1.4139074
1903-01-31,1.2576697
1903-02-28,1.0346901
1903-03-31,0.50612485
1903-04-30,-0.048132367
1903-05-31,-0.35966474
1903-06-30,-0.5011465
1903-07-31,-0.8953196
1903-08-31,-1.6946522
1903-09-30,-1.6627134
1903-10-31,-1.6915381
1903-11-30,-1.6992483
1903-12-31,-1.4931954
1904-01-31,-1.8747171
1904-02-29,-1.9448903
1904-03-31,-1.8502748
1904-04-30,-0.9541621
1904-05-31,-0.6107391
1904-06-30,-0.40669972
1904-07-31,-0.37047094
1904-08-31,-0.33950782
1904-09-30,-0.4502833
1904-10-31,-0.1879869
1904-11-30,0.32147622
1904-12-31,0.55605483
1905-01-31,0.5870618
1905-02-28,0.64090496
1905-03-31,0.64844465
1905-04-30,0.8155508
1905-05-31,0.88131726
1905-06-30,0.8725815
1905-07-31,0.9967989
1905-08-31,1.096475
1905-09-30,1.1966984
1905-10-31,0.7763268
1905-11-30,0.6663665
1905-12-31,0.78157777
1906-01-31,0.62529296
1906-02-28,0.14255387
1906-03-31,0.020848189
1906-04-30,-0.29919443
1906-05-31,-0.55711216
1906-06-30,-0.7902194
1906-07-31,-0.9744272
1906-08-31,-1.3486234
1906-09-30,-1.166892
1906-10-31,-0.8164768
1906-11-30,-0.9820692
1906-12-31,-1.2151321
1907-01-31,-1.2447424
1907-02-28,-1.3039105
1907-03-31,-1.1600654
1907-04-30,-0.84961396
1907-05-31,-0.55960405
1907-06-30,-0.45194358
1907-07-31,-0.52568924
1907-08-31,-0.19114403
1907-09-30,-0.45805484
1907-10-31,-0.34739906
1907-11-30,-0.59483844
1907-12-31,-0.59906083
1908-01-31,-0.264295
1908-02-29,-0.33469215
1908-03-31,-0.589059
1908-04-30,-1.1030434
1908-05-31,-1.0107661
1908-06-30,-0.87855875
1908-07-31,-0.7810715
1908-08-31,-1.011224
1908-09-30,-1.257947
1908-10-31,-1.4294271
1908-11-30,-1.3881574
1908-12-31,-1.7389185
1909-01-31,-1.8643119
1909-02-28,-1.5922226
1909-03-31,-1.0455999
1909-04-30,-1.0390804
1909-05-31,-0.96886444
1909-06-30,-1.0161263
1909-07-31,-1.1274608
1909-08-31,-1.2085308
1909-09-30,-1.8617961
1909-10-31,-1.9369335
1909-11-30,-1.7816168
1909-12-31,-1.7703998
1910-01-31,-1.8767874
1910-02-28,-1.9906471
1910-03-31,-2.221252
1910-04-30,-1.3906581
1910-05-31,-1.1977564
1910-06-30,-1.1438699
1910-07-31,-1.3792909
1910-08-31,-1.5405324
1910-09-30,-1.7306583
1910-10-31,-1.5592406
